the cup by the bed on the stool by the truck on the street by the book in the museum is brown .	the cup was by the bed on the stool by the truck on the street by the book in the museum is brown .
the window in the library by the rocket in the school in the museum by the door by the shirt was amazing .	the window is in the library by the rocket in the school in the museum by the door by the shirt was amazing .
the rocket by the ship in the mall in the restaurant by the truck in the school by the fork is green .	the rocket was by the ship in the mall in the restaurant by the truck in the school by the fork is green .
the crayon on the ground by the mirror on the chair in the mall by the fork on the bed is awesome .	the crayon was on the ground by the mirror on the chair in the mall by the fork on the bed is awesome .
the candle in the kitchen on the stool in the school by the bag by the plate in the school was cool .	the candle is in the kitchen on the stool in the school by the bag by the plate in the school was cool .
the doll by the bicycle on the floor on the floor on the couch by the doll by the dish is green .	the doll was by the bicycle on the floor on the floor on the couch by the doll by the dish is green .
the picture on the chair on the couch on the ground on the street on the ground on the stool is blue .	the picture was on the chair on the couch on the ground on the street on the ground on the stool is blue .
the book by the shoe in the school by the bed on the stool on the table by the bottle is dry .	the book was by the shoe in the school by the bed on the stool on the table by the bottle is dry .
the doll on the table on the ground by the bicycle by the crayon in the museum in the bank is expensive .	the doll was on the table on the ground by the bicycle by the crayon in the museum in the bank is expensive .
the crayon on the street in the school on the stool by the crayon by the door on the bed is dry .	the crayon was on the street in the school on the stool by the crayon by the door on the bed is dry .
the plate on the floor on the bed by the shirt on the table in the library in the museum is red .	the plate was on the floor on the bed by the shirt on the table in the library in the museum is red .
the ring by the car on the table by the bed by the couch in the school by the dish is fine .	the ring was by the car on the table by the bed by the couch in the school by the dish is fine .
the book by the mirror by the hat on the floor on the street on the floor on the stool is red .	the book was by the mirror by the hat on the floor on the street on the floor on the stool is red .
the rug in the school in the school on the street on the stool on the street by the hat is dry .	the rug was in the school in the school on the street on the stool on the street by the hat is dry .
the bag by the bowl by the shirt on the table in the bank in the room by the fork was yellow .	the bag is by the bowl by the shirt on the table in the bank in the room by the fork was yellow .
the mirror in the school by the book in the school by the car in the school in the park was hot .	the mirror is in the school by the book in the school by the car in the school in the park was hot .
the candle in the hospital by the button on the bed in the park in the kitchen on the chair was black .	the candle is in the hospital by the button on the bed in the park in the kitchen on the chair was black .
the spoon on the chair on the chair by the cup on the bed by the toy on the couch is expensive .	the spoon was on the chair on the chair by the cup on the bed by the toy on the couch is expensive .
the car by the truck by the cup in the school by the dish in the mall in the library was cute .	the car is by the truck by the cup in the school by the dish in the mall in the library was cute .
the picture in the school by the bag in the school by the shirt on the stool on the bed was yellow .	the picture is in the school by the bag in the school by the shirt on the stool on the bed was yellow .
the shoe by the book on the floor on the stool by the truck on the chair in the museum is cold .	the shoe was by the book on the floor on the stool by the truck on the chair in the museum is cold .
the bicycle on the table on the street in the park in the library by the glass by the car was green .	the bicycle is on the table on the street in the park in the library by the glass by the car was green .
the truck on the bed on the street in the room by the spoon by the fork by the bottle is cold .	the truck was on the bed on the street in the room by the spoon by the fork by the bottle is cold .
the boat on the floor on the street in the mall in the library in the hospital in the hospital is hot .	the boat was on the floor on the street in the mall in the library in the hospital in the hospital is hot .
the ring in the library by the bed in the school in the bank in the school on the floor was black .	the ring is in the library by the bed in the school in the bank in the school on the floor was black .
the truck in the bank on the stool by the bottle by the ship in the park on the table is blue .	the truck was in the bank on the stool by the bottle by the ship in the park on the table is blue .
the toy by the bag by the ring on the street on the bed by the rug in the school was broken .	the toy is by the bag by the ring on the street on the bed by the rug in the school was broken .
the window on the couch on the stool on the floor by the spoon by the truck in the hospital was black .	the window is on the couch on the stool on the floor by the spoon by the truck in the hospital was black .
the bag on the street by the mirror in the library on the bed in the library by the dish is gray .	the bag was on the street by the mirror in the library on the bed in the library by the dish is gray .
the cup on the street by the hat in the school on the street by the window in the kitchen is yellow .	the cup was on the street by the hat in the school on the street by the window in the kitchen is yellow .
the bottle on the floor on the ground by the bag by the window in the bank by the dish is fine .	the bottle was on the floor on the ground by the bag by the window in the bank by the dish is fine .
the toy by the hat in the school on the street by the car on the couch in the museum was black .	the toy is by the hat in the school on the street by the car on the couch in the museum was black .
the boat by the plane in the library in the hospital by the bicycle on the table in the restaurant is awesome .	the boat was by the plane in the library in the hospital by the bicycle on the table in the restaurant is awesome .
the boat on the chair on the table by the candle on the floor by the dish in the bank is new .	the boat was on the chair on the table by the candle on the floor by the dish in the bank is new .
the boat on the ground on the table by the bowl on the couch in the museum in the mall was missing .	the boat is on the ground on the table by the bowl on the couch in the museum in the mall was missing .
the bicycle by the crayon by the book by the rug on the floor by the spoon on the floor is red .	the bicycle was by the crayon by the book by the rug on the floor by the spoon on the floor is red .
the book in the kitchen on the couch on the street by the door in the museum by the button was blue .	the book is in the kitchen on the couch on the street by the door in the museum by the button was blue .
the bottle on the stool on the floor on the ground on the street on the street by the truck was hot .	the bottle is on the stool on the floor on the ground on the street on the street by the truck was hot .
the rug in the bank by the bicycle by the dish on the street on the street on the chair is whole .	the rug was in the bank by the bicycle by the dish on the street on the street on the chair is whole .
the plate on the ground on the stool by the car on the floor by the rug by the candle was broken .	the plate is on the ground on the stool by the car on the floor by the rug by the candle was broken .
the plane on the ground in the mall by the toy by the plate in the kitchen in the hospital is new .	the plane was on the ground in the mall by the toy by the plate in the kitchen in the hospital is new .
the fork on the table in the room on the couch on the bed by the hat on the bed was dry .	the fork is on the table in the room on the couch on the bed by the hat on the bed was dry .
the mirror by the rocket by the rocket by the window on the floor on the street in the bank is boring .	the mirror was by the rocket by the rocket by the window on the floor on the street in the bank is boring .
the truck by the ship by the book by the dish on the floor by the car by the button is black .	the truck was by the ship by the book by the dish on the floor by the car by the button is black .
the crayon by the ship by the doll by the rug by the car on the stool on the table was green .	the crayon is by the ship by the doll by the rug by the car on the stool on the table was green .
the hat on the bed in the restaurant by the window on the couch by the crayon in the bank is awesome .	the hat was on the bed in the restaurant by the window on the couch by the crayon in the bank is awesome .
the door by the button on the chair on the bed on the street on the bed on the chair was small .	the door is by the button on the chair on the bed on the street on the bed on the chair was small .
the toy by the window in the bank on the ground in the school on the couch in the restaurant is purple .	the toy was by the window in the bank on the ground in the school on the couch in the restaurant is purple .
the plate in the room by the window by the ship in the hospital on the stool by the hat was missing .	the plate is in the room by the window by the ship in the hospital on the stool by the hat was missing .
the bottle by the cup on the ground on the street on the bed on the couch by the bed is big .	the bottle was by the cup on the ground on the street on the bed on the couch by the bed is big .
the car on the chair by the plane by the mirror on the floor in the restaurant by the picture was purple .	the car is on the chair by the plane by the mirror on the floor in the restaurant by the picture was purple .
the plane on the floor in the mall by the crayon in the museum by the button in the park was red .	the plane is on the floor in the mall by the crayon in the museum by the button in the park was red .
the car on the table by the dish in the restaurant in the mall on the stool in the school was purple .	the car is on the table by the dish in the restaurant in the mall on the stool in the school was purple .
the picture on the couch on the bed by the crayon by the ring by the boat in the mall is big .	the picture was on the couch on the bed by the crayon by the ring by the boat in the mall is big .
the shoe in the hospital in the mall on the stool on the ground on the table on the street was old .	the shoe is in the hospital in the mall on the stool on the ground on the table on the street was old .
the toy on the floor on the couch on the stool on the stool on the street by the fork was amazing .	the toy is on the floor on the couch on the stool on the stool on the street by the fork was amazing .
the boat on the bed in the bank by the car on the table on the floor by the button is missing .	the boat was on the bed in the bank by the car on the table on the floor by the button is missing .
the book on the stool in the museum by the rug on the bed on the couch on the floor was missing .	the book is on the stool in the museum by the rug on the bed on the couch on the floor was missing .
the book on the floor on the street on the couch on the stool by the window on the stool was purple .	the book is on the floor on the street on the couch on the stool by the window on the stool was purple .
the ring on the couch by the plate in the bank on the chair by the couch by the picture is black .	the ring was on the couch by the plate in the bank on the chair by the couch by the picture is black .
the candle on the floor on the floor on the floor on the ground by the book in the kitchen is great .	the candle was on the floor on the floor on the floor on the ground by the book in the kitchen is great .
the crayon on the couch by the bottle on the ground in the school in the mall in the museum was important .	the crayon is on the couch by the bottle on the ground in the school in the mall in the museum was important .
the car by the bowl in the park by the candle by the box on the stool in the bank is important .	the car was by the bowl in the park by the candle by the box on the stool in the bank is important .
the shirt on the stool in the kitchen in the mall by the dish on the street on the couch is blue .	the shirt was on the stool in the kitchen in the mall by the dish on the street on the couch is blue .
the bed in the hospital by the fork in the school on the street in the museum in the room was yellow .	the bed is in the hospital by the fork in the school on the street in the museum in the room was yellow .
the chair on the chair in the museum by the fork on the table on the floor in the school is whole .	the chair was on the chair in the museum by the fork on the table on the floor in the school is whole .
the toy by the mirror by the hat by the plane on the bed in the library by the bed is gray .	the toy was by the mirror by the hat by the plane on the bed in the library by the bed is gray .
the bowl in the museum in the museum in the library in the restaurant in the school on the couch is new .	the bowl was in the museum in the museum in the library in the restaurant in the school on the couch is new .
the bed in the museum on the floor by the chair on the bed by the picture in the park is small .	the bed was in the museum on the floor by the chair on the bed by the picture in the park is small .
the truck in the school on the table by the hat by the dish in the bank by the shirt is cold .	the truck was in the school on the table by the hat by the dish in the bank by the shirt is cold .
the ring on the bed by the shirt in the hospital in the bank on the street on the couch was big .	the ring is on the bed by the shirt in the hospital in the bank on the street on the couch was big .
the hat by the bag by the plane on the chair by the crayon on the table by the mirror is black .	the hat was by the bag by the plane on the chair by the crayon on the table by the mirror is black .
the spoon by the plane on the couch on the stool by the toy by the bottle in the hospital was red .	the spoon is by the plane on the couch on the stool by the toy by the bottle in the hospital was red .
the shoe on the table in the room in the park in the library in the museum on the chair is awesome .	the shoe was on the table in the room in the park in the library in the museum on the chair is awesome .
the ship on the ground on the floor on the couch by the shirt in the school in the restaurant was fine .	the ship is on the ground on the floor on the couch by the shirt in the school in the restaurant was fine .
the bag in the library in the park in the museum in the room in the mall on the street is great .	the bag was in the library in the park in the museum in the room in the mall on the street is great .
the door by the ring by the mirror on the street by the book on the ground on the chair was awesome .	the door is by the ring by the mirror on the street by the book on the ground on the chair was awesome .
the shoe by the glass in the restaurant in the library in the room on the chair in the park is dry .	the shoe was by the glass in the restaurant in the library in the room on the chair in the park is dry .
the doll on the stool on the table by the bag in the mall by the shirt in the school is whole .	the doll was on the stool on the table by the bag in the mall by the shirt in the school is whole .
the door by the box by the shoe on the stool on the floor on the ground by the rocket was orange .	the door is by the box by the shoe on the stool on the floor on the ground by the rocket was orange .
the cup by the box on the couch by the ship by the truck on the floor in the school was amazing .	the cup is by the box on the couch by the ship by the truck on the floor in the school was amazing .
the truck in the library on the floor on the chair on the chair in the room by the cup was cool .	the truck is in the library on the floor on the chair on the chair in the room by the cup was cool .
the picture by the boat in the library on the ground by the truck in the school in the bank was great .	the picture is by the boat in the library on the ground by the truck in the school in the bank was great .
the button on the chair by the box by the door by the cup by the glass on the couch was small .	the button is on the chair by the box by the door by the cup by the glass on the couch was small .
the doll by the button by the toy by the bed by the shoe on the ground on the street is important .	the doll was by the button by the toy by the bed by the shoe on the ground on the street is important .
the toy on the street by the shirt by the window by the chair in the bank on the couch was cute .	the toy is on the street by the shirt by the window by the chair in the bank on the couch was cute .
the plate in the kitchen in the restaurant by the car on the chair by the ring by the shoe is cute .	the plate was in the kitchen in the restaurant by the car on the chair by the ring by the shoe is cute .
the couch in the kitchen by the rocket by the bowl in the restaurant in the room by the truck was gray .	the couch is in the kitchen by the rocket by the bowl in the restaurant in the room by the truck was gray .
the crayon in the school on the ground in the museum by the mirror in the school by the book is new .	the crayon was in the school on the ground in the museum by the mirror in the school by the book is new .
the candle in the mall in the library by the spoon on the ground in the hospital on the chair is gray .	the candle was in the mall in the library by the spoon on the ground in the hospital on the chair is gray .
the ship by the car in the park in the school on the stool in the museum by the toy is green .	the ship was by the car in the park in the school on the stool in the museum by the toy is green .
the car by the shirt on the bed on the ground by the chair by the bowl by the bag was hot .	the car is by the shirt on the bed on the ground by the chair by the bowl by the bag was hot .
the door on the street by the rocket by the ship in the hospital by the ring in the museum was blue .	the door is on the street by the rocket by the ship in the hospital by the ring in the museum was blue .
the window by the crayon in the bank by the mirror on the table by the car by the truck is purple .	the window was by the crayon in the bank by the mirror on the table by the car by the truck is purple .
the bowl on the floor in the mall on the bed on the stool in the mall on the street was red .	the bowl is on the floor in the mall on the bed on the stool in the mall on the street was red .
the button by the shoe by the bicycle on the street by the fork by the chair by the doll is new .	the button was by the shoe by the bicycle on the street by the fork by the chair by the doll is new .
the mirror in the school on the couch by the box on the couch by the bag on the bed was white .	the mirror is in the school on the couch by the box on the couch by the bag on the bed was white .
the car on the bed by the crayon in the room on the stool in the hospital on the chair is gray .	the car was on the bed by the crayon in the room on the stool in the hospital on the chair is gray .
the bed in the kitchen in the bank in the hospital in the bank in the park by the picture is boring .	the bed was in the kitchen in the bank in the hospital in the bank in the park by the picture is boring .
the plane on the street by the ring in the room on the bed in the school by the bowl was broken .	the plane is on the street by the ring in the room on the bed in the school by the bowl was broken .
the doll on the ground by the glass in the mall on the bed on the street in the school is amazing .	the doll was on the ground by the glass in the mall on the bed on the street in the school is amazing .
the shoe by the box on the floor by the plane on the couch in the school on the street was small .	the shoe is by the box on the floor by the plane on the couch in the school on the street was small .
the boat in the bank by the boat on the street on the couch on the chair by the shoe was fine .	the boat is in the bank by the boat on the street on the couch on the chair by the shoe was fine .
the bowl by the ship on the street on the chair in the restaurant by the ship on the stool was new .	the bowl is by the ship on the street on the chair in the restaurant by the ship on the stool was new .
the plane on the stool on the chair by the couch on the couch in the school on the ground is awesome .	the plane was on the stool on the chair by the couch on the couch in the school on the ground is awesome .
the bed in the park on the bed on the table on the couch on the floor on the table was boring .	the bed is in the park on the bed on the table on the couch on the floor on the table was boring .
the picture in the school on the floor on the stool on the couch by the bicycle on the street is whole .	the picture was in the school on the floor on the stool on the couch by the bicycle on the street is whole .
the hat by the toy on the floor in the room in the restaurant on the ground by the couch is cute .	the hat was by the toy on the floor in the room in the restaurant on the ground by the couch is cute .
the car on the chair on the chair by the fork on the street by the ship by the bicycle is expensive .	the car was on the chair on the chair by the fork on the street by the ship by the bicycle is expensive .
the bottle in the hospital in the bank by the doll in the hospital in the room in the kitchen is new .	the bottle was in the hospital in the bank by the doll in the hospital in the room in the kitchen is new .
the spoon by the fork by the ship on the bed by the hat on the stool by the shirt is black .	the spoon was by the fork by the ship on the bed by the hat on the stool by the shirt is black .
the bed by the box on the couch on the table on the floor in the park by the car is expensive .	the bed was by the box on the couch on the table on the floor in the park by the car is expensive .
the ring in the restaurant on the table in the mall on the bed in the hospital on the stool was cute .	the ring is in the restaurant on the table in the mall on the bed in the hospital on the stool was cute .
the truck on the bed by the rocket by the rug by the car in the room by the shoe is orange .	the truck was on the bed by the rocket by the rug by the car in the room by the shoe is orange .
the book by the couch by the book in the bank by the fork by the ship by the candle is awesome .	the book was by the couch by the book in the bank by the fork by the ship by the candle is awesome .
the bag by the doll by the button in the school in the library on the floor on the table is hot .	the bag was by the doll by the button in the school in the library on the floor on the table is hot .
the fork on the floor by the dish on the bed in the park on the floor by the boat was amazing .	the fork is on the floor by the dish on the bed in the park on the floor by the boat was amazing .
the book in the park on the street by the toy by the bed by the shirt on the chair was purple .	the book is in the park on the street by the toy by the bed by the shirt on the chair was purple .
the glass on the street in the library by the glass in the mall on the floor on the bed is cute .	the glass was on the street in the library by the glass in the mall on the floor on the bed is cute .
the button on the couch by the truck on the floor by the plane in the room by the bottle is gray .	the button was on the couch by the truck on the floor by the plane in the room by the bottle is gray .
the fork in the bank by the shoe by the car on the couch by the toy in the mall was cold .	the fork is in the bank by the shoe by the car on the couch by the toy in the mall was cold .
the shirt on the floor in the school on the couch by the shirt by the glass on the chair is black .	the shirt was on the floor in the school on the couch by the shirt by the glass on the chair is black .
the glass in the restaurant on the couch on the street on the floor by the candle by the glass is great .	the glass was in the restaurant on the couch on the street on the floor by the candle by the glass is great .
the dish on the bed in the mall in the hospital in the room on the bed by the glass is missing .	the dish was on the bed in the mall in the hospital in the room on the bed by the glass is missing .
the rug on the floor by the door on the chair on the floor by the shoe on the chair is new .	the rug was on the floor by the door on the chair on the floor by the shoe on the chair is new .
the boat on the street by the chair on the chair on the stool by the boat in the restaurant is great .	the boat was on the street by the chair on the chair on the stool by the boat in the restaurant is great .
the rug on the couch in the bank on the couch in the museum on the ground by the shirt was red .	the rug is on the couch in the bank on the couch in the museum on the ground by the shirt was red .
the glass by the rug in the bank on the ground in the hospital by the bicycle on the floor was great .	the glass is by the rug in the bank on the ground in the hospital by the bicycle on the floor was great .
the button by the candle in the bank on the street by the toy on the street by the dish was fine .	the button is by the candle in the bank on the street by the toy on the street by the dish was fine .
the spoon by the box in the library on the ground on the ground on the couch in the bank is brown .	the spoon was by the box in the library on the ground on the ground on the couch in the bank is brown .
the door on the stool in the bank on the street on the table in the restaurant on the bed was red .	the door is on the stool in the bank on the street on the table in the restaurant on the bed was red .
the plate on the couch on the table on the stool on the chair by the chair on the chair was great .	the plate is on the couch on the table on the stool on the chair by the chair on the chair was great .
the fork by the car in the museum on the bed by the truck on the chair on the couch is fine .	the fork was by the car in the museum on the bed by the truck on the chair on the couch is fine .
the cup by the toy by the fork on the bed by the bowl by the rug in the school is yellow .	the cup was by the toy by the fork on the bed by the bowl by the rug in the school is yellow .
the rocket in the mall by the doll in the library by the mirror by the picture on the floor was purple .	the rocket is in the mall by the doll in the library by the mirror by the picture on the floor was purple .
the couch by the book on the floor in the hospital by the mirror in the kitchen by the crayon was big .	the couch is by the book on the floor in the hospital by the mirror in the kitchen by the crayon was big .
the boat by the candle on the couch by the hat on the street on the stool on the street was cold .	the boat is by the candle on the couch by the hat on the street on the stool on the street was cold .
the doll in the school by the bed by the picture by the rocket on the bed in the school is orange .	the doll was in the school by the bed by the picture by the rocket on the bed in the school is orange .
the shoe by the shoe in the park by the plane on the bed in the school on the table is white .	the shoe was by the shoe in the park by the plane on the bed in the school on the table is white .
the bowl on the couch by the ring on the chair on the table on the couch in the school was awesome .	the bowl is on the couch by the ring on the chair on the table on the couch in the school was awesome .
the mirror on the stool in the room on the table by the bowl by the hat on the bed was great .	the mirror is on the stool in the room on the table by the bowl by the hat on the bed was great .
the spoon in the restaurant by the rug on the chair in the room in the museum by the doll is yellow .	the spoon was in the restaurant by the rug on the chair in the room in the museum by the doll is yellow .
the book on the bed by the truck on the street on the street on the table on the street was black .	the book is on the bed by the truck on the street on the street on the table on the street was black .
the bicycle on the stool on the ground by the spoon in the library in the school on the couch is missing .	the bicycle was on the stool on the ground by the spoon in the library in the school on the couch is missing .
the spoon in the park on the table on the table by the candle by the fork by the cup was dry .	the spoon is in the park on the table on the table by the candle by the fork by the cup was dry .
the box by the ring in the park on the chair on the floor by the book in the kitchen was great .	the box is by the ring in the park on the chair on the floor by the book in the kitchen was great .
the hat in the restaurant in the park by the toy in the restaurant in the school in the room was purple .	the hat is in the restaurant in the park by the toy in the restaurant in the school in the room was purple .
the rug by the mirror in the hospital on the chair by the rug by the rocket in the library is cold .	the rug was by the mirror in the hospital on the chair by the rug by the rocket in the library is cold .
the car by the rug by the car by the ship in the kitchen by the fork in the hospital is whole .	the car was by the rug by the car by the ship in the kitchen by the fork in the hospital is whole .
the glass on the floor in the hospital on the chair by the bottle in the library by the shirt was important .	the glass is on the floor in the hospital on the chair by the bottle in the library by the shirt was important .
the car in the restaurant by the toy by the bed on the street on the chair on the bed is amazing .	the car was in the restaurant by the toy by the bed on the street on the chair on the bed is amazing .
the toy by the bed by the car in the school in the room by the ship by the toy was black .	the toy is by the bed by the car in the school in the room by the ship by the toy was black .
the truck on the stool on the table by the bed in the hospital on the stool on the street was blue .	the truck is on the stool on the table by the bed in the hospital on the stool on the street was blue .
the shoe on the chair in the school on the couch in the library on the stool by the cup is fine .	the shoe was on the chair in the school on the couch in the library on the stool by the cup is fine .
the ring on the ground by the glass on the chair on the floor in the kitchen in the museum is old .	the ring was on the ground by the glass on the chair on the floor in the kitchen in the museum is old .
the bowl by the bicycle by the chair in the school on the ground by the fork by the bed was purple .	the bowl is by the bicycle by the chair in the school on the ground by the fork by the bed was purple .
the shoe on the bed in the hospital in the bank on the bed by the bottle by the hat was dry .	the shoe is on the bed in the hospital in the bank on the bed by the bottle by the hat was dry .
the doll by the rug by the plate in the museum by the book in the bank on the chair is important .	the doll was by the rug by the plate in the museum by the book in the bank on the chair is important .
the doll on the chair in the restaurant on the stool on the ground in the school in the room was old .	the doll is on the chair in the restaurant on the stool on the ground in the school in the room was old .
the mirror by the truck in the room by the truck by the button by the doll by the window is old .	the mirror was by the truck in the room by the truck by the button by the doll by the window is old .
the plane in the park on the ground by the bed on the bed by the boat on the table is hot .	the plane was in the park on the ground by the bed on the bed by the boat on the table is hot .
the button by the ring by the truck on the stool on the couch on the table by the box was green .	the button is by the ring by the truck on the stool on the couch on the table by the box was green .
the candle in the museum by the book on the chair on the chair on the ground on the table was blue .	the candle is in the museum by the book on the chair on the chair on the ground on the table was blue .
the picture by the button by the fork in the school on the table by the chair on the chair is small .	the picture was by the button by the fork in the school on the table by the chair on the chair is small .
the picture by the picture on the chair in the museum on the street by the ring by the doll is awesome .	the picture was by the picture on the chair in the museum on the street by the ring by the doll is awesome .
the button in the bank by the button in the room on the table in the school by the bed was orange .	the button is in the bank by the button in the room on the table in the school by the bed was orange .
the rug on the floor by the crayon by the spoon in the school on the couch on the street was gray .	the rug is on the floor by the crayon by the spoon in the school on the couch on the street was gray .
the ring in the school by the bicycle by the crayon by the ring in the school on the bed was old .	the ring is in the school by the bicycle by the crayon by the ring in the school on the bed was old .
the rug in the kitchen by the box in the library by the box by the dish in the school is dry .	the rug was in the kitchen by the box in the library by the box by the dish in the school is dry .
the bowl by the spoon in the bank in the school by the button on the couch in the school was new .	the bowl is by the spoon in the bank in the school by the button on the couch in the school was new .
the glass on the floor by the couch by the bicycle by the couch by the bottle on the table is purple .	the glass was on the floor by the couch by the bicycle by the couch by the bottle on the table is purple .
the bed by the fork in the restaurant by the shoe by the picture on the ground by the window was hot .	the bed is by the fork in the restaurant by the shoe by the picture on the ground by the window was hot .
the rug in the bank by the picture by the dish by the doll in the school on the couch was red .	the rug is in the bank by the picture by the dish by the doll in the school on the couch was red .
the book on the table in the kitchen in the park on the stool on the couch by the hat was expensive .	the book is on the table in the kitchen in the park on the stool on the couch by the hat was expensive .
the ring on the chair by the bicycle on the chair by the box by the picture by the toy was white .	the ring is on the chair by the bicycle on the chair by the box by the picture by the toy was white .
the ring in the park by the truck by the plate on the couch in the mall by the ship is new .	the ring was in the park by the truck by the plate on the couch in the mall by the ship is new .
the bottle on the chair on the floor by the window on the ground by the book on the bed was fine .	the bottle is on the chair on the floor by the window on the ground by the book on the bed was fine .
the glass by the bowl in the park on the couch by the dish on the bed in the library was blue .	the glass is by the bowl in the park on the couch by the dish on the bed in the library was blue .
the car by the couch in the bank by the rocket on the bed in the restaurant in the school was cold .	the car is by the couch in the bank by the rocket on the bed in the restaurant in the school was cold .
the plate by the bottle by the spoon on the street on the floor by the bag on the bed is cold .	the plate was by the bottle by the spoon on the street on the floor by the bag on the bed is cold .
the plane in the room in the school on the street by the mirror in the room by the cup was orange .	the plane is in the room in the school on the street by the mirror in the room by the cup was orange .
the truck on the couch by the doll on the stool on the chair in the mall on the ground is fine .	the truck was on the couch by the doll on the stool on the chair in the mall on the ground is fine .
the car by the rug in the hospital on the stool by the door on the stool in the library was expensive .	the car is by the rug in the hospital on the stool by the door on the stool in the library was expensive .
the ship by the bowl on the stool by the doll on the ground by the mirror in the kitchen was awesome .	the ship is by the bowl on the stool by the doll on the ground by the mirror in the kitchen was awesome .
the chair on the table in the hospital in the bank by the bottle on the floor in the mall was old .	the chair is on the table in the hospital in the bank by the bottle on the floor in the mall was old .
the plane in the mall on the couch in the bank by the bowl on the chair in the bank is cold .	the plane was in the mall on the couch in the bank by the bowl on the chair in the bank is cold .
the book in the bank on the chair by the chair in the bank by the box on the chair was yellow .	the book is in the bank on the chair by the chair in the bank by the box on the chair was yellow .
the plane on the floor by the hat in the hospital by the bag by the window by the spoon is missing .	the plane was on the floor by the hat in the hospital by the bag by the window by the spoon is missing .
the book in the mall on the chair in the restaurant in the hospital on the floor by the rug is broken .	the book was in the mall on the chair in the restaurant in the hospital on the floor by the rug is broken .
the book by the book in the school on the ground by the book in the library on the couch is cool .	the book was by the book in the school on the ground by the book in the library on the couch is cool .
the fork by the car by the book by the ship in the kitchen by the ship by the bowl was old .	the fork is by the car by the book by the ship in the kitchen by the ship by the bowl was old .
the bowl in the hospital on the street on the floor in the mall on the bed on the chair is small .	the bowl was in the hospital on the street on the floor in the mall on the bed on the chair is small .
the book in the park in the bank by the boat on the floor on the street by the plane is cool .	the book was in the park in the bank by the boat on the floor on the street by the plane is cool .
the ship by the truck on the ground by the plate by the shoe on the floor on the ground was gray .	the ship is by the truck on the ground by the plate by the shoe on the floor on the ground was gray .
the fork by the bottle by the bottle in the school in the mall by the picture in the bank was fine .	the fork is by the bottle by the bottle in the school in the mall by the picture in the bank was fine .
the box on the chair in the mall on the ground in the room by the truck on the stool is important .	the box was on the chair in the mall on the ground in the room by the truck on the stool is important .
the doll on the stool by the ship in the school on the chair on the street on the couch was important .	the doll is on the stool by the ship in the school on the chair on the street on the couch was important .
the bicycle on the bed on the chair on the street by the plane by the dish in the library was brown .	the bicycle is on the bed on the chair on the street by the plane by the dish in the library was brown .
the car on the bed by the box on the couch by the glass in the school by the crayon is purple .	the car was on the bed by the box on the couch by the glass in the school by the crayon is purple .
the dish by the book by the bed by the glass on the street by the bed on the stool was white .	the dish is by the book by the bed by the glass on the street by the bed on the stool was white .
the bottle on the bed on the floor on the table on the stool in the bank on the chair is black .	the bottle was on the bed on the floor on the table on the stool in the bank on the chair is black .
the shoe on the stool in the bank on the stool on the floor in the library by the shoe was important .	the shoe is on the stool in the bank on the stool on the floor in the library by the shoe was important .
the button by the book by the book on the couch in the restaurant by the truck on the street is orange .	the button was by the book by the book on the couch in the restaurant by the truck on the street is orange .
the bicycle by the mirror by the spoon on the floor in the park on the bed in the school is cool .	the bicycle was by the mirror by the spoon on the floor in the park on the bed in the school is cool .
the fork on the bed by the button by the fork by the ring on the ground on the chair is cool .	the fork was on the bed by the button by the fork by the ring on the ground on the chair is cool .
the bowl in the library on the street in the museum by the spoon in the room on the couch was orange .	the bowl is in the library on the street in the museum by the spoon in the room on the couch was orange .
the door on the chair in the park by the dish in the mall on the floor in the school was white .	the door is on the chair in the park by the dish in the mall on the floor in the school was white .
the plate by the bed on the chair by the dish on the ground on the couch on the chair is fine .	the plate was by the bed on the chair by the dish on the ground on the couch on the chair is fine .
the crayon by the rocket on the table on the ground by the mirror by the ring by the book is hot .	the crayon was by the rocket on the table on the ground by the mirror by the ring by the book is hot .
the bottle on the chair on the table on the bed by the chair on the table by the cup is important .	the bottle was on the chair on the table on the bed by the chair on the table by the cup is important .
the ring in the bank on the couch in the kitchen by the glass on the floor on the ground is fine .	the ring was in the bank on the couch in the kitchen by the glass on the floor on the ground is fine .
the bottle by the candle on the floor on the stool in the mall on the street by the crayon is old .	the bottle was by the candle on the floor on the stool in the mall on the street by the crayon is old .
the dish on the table by the ship in the kitchen by the mirror on the street on the table was important .	the dish is on the table by the ship in the kitchen by the mirror on the street on the table was important .
the bowl by the chair on the stool on the table on the stool on the street in the bank is green .	the bowl was by the chair on the stool on the table on the stool on the street in the bank is green .
the book by the candle by the fork in the museum on the street by the doll on the couch was red .	the book is by the candle by the fork in the museum on the street by the doll on the couch was red .
the book in the park on the bed by the bowl on the bed by the dish in the mall was orange .	the book is in the park on the bed by the bowl on the bed by the dish in the mall was orange .
the door by the book on the street in the park by the book by the crayon on the bed is important .	the door was by the book on the street in the park by the book by the crayon on the bed is important .
the bag in the kitchen on the ground in the library on the couch by the bowl by the book is amazing .	the bag was in the kitchen on the ground in the library on the couch by the bowl by the book is amazing .
the plane by the mirror by the door in the kitchen in the hospital in the museum in the library is amazing .	the plane was by the mirror by the door in the kitchen in the hospital in the museum in the library is amazing .
