Susan sent my dad 's son 's friend 's brother 's doctor 's teacher 's dad the button .	Susan kept my dad 's son 's friend 's brother 's doctor 's teacher 's dad the button .
my cousin showed your father 's wife 's wife 's friend 's sister 's son 's dentist the ship .	my cousin held your father 's wife 's wife 's friend 's sister 's son 's dentist the ship .
my teacher bought your doctor 's boss 's grandmother 's dentist 's doctor 's wife 's son the box .	my teacher cleaned your doctor 's boss 's grandmother 's dentist 's doctor 's wife 's son the box .
your doctor sent my friend 's cousin 's teacher 's cousin 's dad 's doctor 's brother the shoe .	your doctor cleaned my friend 's cousin 's teacher 's cousin 's dad 's doctor 's brother the shoe .
the adult sent my daughter 's sister 's mom 's son 's wife 's boss 's mom the ship .	the adult held my daughter 's sister 's mom 's son 's wife 's boss 's mom the ship .
Tracy sent my daughter 's grandmother 's sister 's doctor 's teacher 's daughter 's cousin the truck .	Tracy kept my daughter 's grandmother 's sister 's doctor 's teacher 's daughter 's cousin the truck .
your dentist gave my grandmother 's doctor 's mother 's boss 's cousin 's cousin 's son the crayon .	your dentist moved my grandmother 's doctor 's mother 's boss 's cousin 's cousin 's son the crayon .
your teacher sent your daughter 's son 's teacher 's dentist 's wife 's grandmother 's husband the glass .	your teacher moved your daughter 's son 's teacher 's dentist 's wife 's grandmother 's husband the glass .
Anna sent my doctor 's doctor 's grandmother 's cousin 's sister 's friend 's mom the door .	Anna moved my doctor 's doctor 's grandmother 's cousin 's sister 's friend 's mom the door .
Carl bought your wife 's teacher 's brother 's sister 's son 's dad 's husband the crayon .	Carl dropped your wife 's teacher 's brother 's sister 's son 's dad 's husband the crayon .
Emily sent your mother 's dentist 's dad 's boss 's dentist 's dad 's brother the candle .	Emily dropped your mother 's dentist 's dad 's boss 's dentist 's dad 's brother the candle .
your doctor bought my sister 's dad 's son 's daughter 's husband 's dad 's mom the spoon .	your doctor dropped my sister 's dad 's son 's daughter 's husband 's dad 's mom the spoon .
the child showed my mother 's husband 's husband 's mother 's doctor 's wife 's husband the hat .	the child kept my mother 's husband 's husband 's mother 's doctor 's wife 's husband the hat .
Jane bought my son 's friend 's grandmother 's dentist 's grandmother 's wife 's brother the crayon .	Jane cleaned my son 's friend 's grandmother 's dentist 's grandmother 's wife 's brother the crayon .
my teacher gave my sister 's doctor 's husband 's wife 's sister 's father 's mother the window .	my teacher kept my sister 's doctor 's husband 's wife 's sister 's father 's mother the window .
my boss showed my husband 's mom 's brother 's doctor 's grandmother 's boss 's mother the car .	my boss lost my husband 's mom 's brother 's doctor 's grandmother 's boss 's mother the car .
the customer gave your wife 's wife 's dentist 's grandmother 's daughter 's husband 's cousin the cup .	the customer shook your wife 's wife 's dentist 's grandmother 's daughter 's husband 's cousin the cup .
the customer showed your dentist 's friend 's doctor 's brother 's wife 's mother 's father the car .	the customer dropped your dentist 's friend 's doctor 's brother 's wife 's mother 's father the car .
the child showed your doctor 's son 's doctor 's son 's boss 's cousin 's teacher the rocket .	the child held your doctor 's son 's doctor 's son 's boss 's cousin 's teacher the rocket .
your doctor sent your dentist 's friend 's daughter 's sister 's teacher 's friend 's cousin the rug .	your doctor shook your dentist 's friend 's daughter 's sister 's teacher 's friend 's cousin the rug .
my cousin showed my cousin 's dentist 's boss 's mom 's teacher 's dad 's brother the shirt .	my cousin kept my cousin 's dentist 's boss 's mom 's teacher 's dad 's brother the shirt .
Jessica sent my sister 's doctor 's father 's father 's doctor 's cousin 's dad the door .	Jessica dropped my sister 's doctor 's father 's father 's doctor 's cousin 's dad the door .
the person bought your sister 's dad 's doctor 's boss 's dentist 's cousin 's brother the bicycle .	the person cleaned your sister 's dad 's doctor 's boss 's dentist 's cousin 's brother the bicycle .
Erin bought my sister 's boss 's wife 's daughter 's mom 's brother 's wife the dish .	Erin shook my sister 's boss 's wife 's daughter 's mom 's brother 's wife the dish .
Richard sent my brother 's boss 's mom 's dad 's brother 's dad 's boss the hat .	Richard shook my brother 's boss 's mom 's dad 's brother 's dad 's boss the hat .
the driver sent your father 's daughter 's father 's wife 's friend 's brother 's dad the box .	the driver dropped your father 's daughter 's father 's wife 's friend 's brother 's dad the box .
Nina bought your dentist 's boss 's friend 's mom 's husband 's father 's daughter the shoe .	Nina held your dentist 's boss 's friend 's mom 's husband 's father 's daughter the shoe .
the driver bought my cousin 's father 's mother 's dad 's father 's cousin 's daughter the glass .	the driver kept my cousin 's father 's mother 's dad 's father 's cousin 's daughter the glass .
your dentist sent your son 's father 's mom 's brother 's husband 's father 's son the plane .	your dentist cleaned your son 's father 's mom 's brother 's husband 's father 's son the plane .
my boss sent my cousin 's doctor 's dentist 's doctor 's dad 's doctor 's mother the crayon .	my boss cleaned my cousin 's doctor 's dentist 's doctor 's dad 's doctor 's mother the crayon .
my teacher sent my dentist 's friend 's mom 's sister 's grandmother 's doctor 's grandmother the book .	my teacher kept my dentist 's friend 's mom 's sister 's grandmother 's doctor 's grandmother the book .
the patient showed your son 's doctor 's wife 's father 's dad 's cousin 's father the book .	the patient cleaned your son 's doctor 's wife 's father 's dad 's cousin 's father the book .
my cousin gave your dad 's dentist 's daughter 's mom 's father 's brother 's dentist the truck .	my cousin cleaned your dad 's dentist 's daughter 's mom 's father 's brother 's dentist the truck .
my dentist gave your son 's mother 's husband 's wife 's cousin 's teacher 's wife the candle .	my dentist moved your son 's mother 's husband 's wife 's cousin 's teacher 's wife the candle .
Kristen sent my boss 's husband 's friend 's daughter 's mother 's teacher 's wife the crayon .	Kristen moved my boss 's husband 's friend 's daughter 's mother 's teacher 's wife the crayon .
the dentist sent your father 's mother 's mom 's husband 's wife 's father 's son the mirror .	the dentist lost your father 's mother 's mom 's husband 's wife 's father 's son the mirror .
my dentist gave your father 's daughter 's cousin 's daughter 's dentist 's cousin 's son the bed .	my dentist kept your father 's daughter 's cousin 's daughter 's dentist 's cousin 's son the bed .
the person gave my teacher 's sister 's doctor 's doctor 's friend 's father 's friend the chair .	the person kept my teacher 's sister 's doctor 's doctor 's friend 's father 's friend the chair .
Timothy showed my cousin 's father 's father 's mother 's mother 's wife 's cousin the ring .	Timothy lost my cousin 's father 's father 's mother 's mother 's wife 's cousin the ring .
James bought your teacher 's cousin 's father 's sister 's sister 's mom 's friend the crayon .	James held your teacher 's cousin 's father 's sister 's sister 's mom 's friend the crayon .
your doctor bought your teacher 's wife 's dad 's mom 's grandmother 's dad 's husband the ship .	your doctor cleaned your teacher 's wife 's dad 's mom 's grandmother 's dad 's husband the ship .
Emily bought your mother 's daughter 's dad 's father 's son 's teacher 's husband the glass .	Emily dropped your mother 's daughter 's dad 's father 's son 's teacher 's husband the glass .
the dentist showed your dad 's brother 's friend 's wife 's dad 's daughter 's mom the crayon .	the dentist shook your dad 's brother 's friend 's wife 's dad 's daughter 's mom the crayon .
your dentist sent your father 's friend 's wife 's wife 's husband 's dentist 's grandmother the chair .	your dentist held your father 's friend 's wife 's wife 's husband 's dentist 's grandmother the chair .
the adult gave your doctor 's dad 's mother 's friend 's dentist 's brother 's sister the bottle .	the adult lost your doctor 's dad 's mother 's friend 's dentist 's brother 's sister the bottle .
your friend showed your sister 's husband 's dad 's mom 's grandmother 's mother 's teacher the bowl .	your friend kept your sister 's husband 's dad 's mom 's grandmother 's mother 's teacher the bowl .
the child sent my mom 's sister 's teacher 's mom 's son 's mother 's mom the toy .	the child lost my mom 's sister 's teacher 's mom 's son 's mother 's mom the toy .
my doctor gave your grandmother 's mom 's dad 's mom 's friend 's cousin 's son the book .	my doctor lost your grandmother 's mom 's dad 's mom 's friend 's cousin 's son the book .
your teacher showed your mom 's boss 's dad 's dad 's father 's wife 's father the door .	your teacher lost your mom 's boss 's dad 's dad 's father 's wife 's father the door .
Julia sent your daughter 's grandmother 's mom 's dentist 's husband 's grandmother 's doctor the bottle .	Julia kept your daughter 's grandmother 's mom 's dentist 's husband 's grandmother 's doctor the bottle .
James sent your mom 's dad 's dentist 's mother 's brother 's doctor 's teacher the rocket .	James held your mom 's dad 's dentist 's mother 's brother 's doctor 's teacher the rocket .
the doctor sent your dad 's son 's husband 's dentist 's father 's cousin 's boss the picture .	the doctor moved your dad 's son 's husband 's dentist 's father 's cousin 's boss the picture .
Anne sent my husband 's doctor 's daughter 's dad 's husband 's teacher 's teacher the dish .	Anne moved my husband 's doctor 's daughter 's dad 's husband 's teacher 's teacher the dish .
the adult showed your mom 's brother 's wife 's dentist 's boss 's father 's dentist the hat .	the adult cleaned your mom 's brother 's wife 's dentist 's boss 's father 's dentist the hat .
your boss gave my mom 's sister 's wife 's mom 's father 's son 's son the bicycle .	your boss cleaned my mom 's sister 's wife 's mom 's father 's son 's son the bicycle .
your cousin gave your friend 's dentist 's dentist 's mom 's boss 's cousin 's wife the plane .	your cousin shook your friend 's dentist 's dentist 's mom 's boss 's cousin 's wife the plane .
Liam showed my grandmother 's brother 's son 's mom 's husband 's cousin 's brother the boat .	Liam lost my grandmother 's brother 's son 's mom 's husband 's cousin 's brother the boat .
your boss gave your son 's mother 's son 's sister 's cousin 's son 's daughter the couch .	your boss kept your son 's mother 's son 's sister 's cousin 's son 's daughter the couch .
the dentist showed my mother 's mother 's mom 's mother 's dentist 's grandmother 's father the button .	the dentist lost my mother 's mother 's mom 's mother 's dentist 's grandmother 's father the button .
the driver bought your teacher 's daughter 's brother 's wife 's grandmother 's brother 's friend the bag .	the driver shook your teacher 's daughter 's brother 's wife 's grandmother 's brother 's friend the bag .
the patient showed my dentist 's teacher 's brother 's daughter 's dentist 's father 's sister the shirt .	the patient moved my dentist 's teacher 's brother 's daughter 's dentist 's father 's sister the shirt .
Scott sent my son 's daughter 's dentist 's son 's boss 's boss 's mother the shirt .	Scott cleaned my son 's daughter 's dentist 's son 's boss 's boss 's mother the shirt .
my dentist gave my husband 's brother 's doctor 's sister 's mother 's dad 's dad the picture .	my dentist lost my husband 's brother 's doctor 's sister 's mother 's dad 's dad the picture .
your dentist showed my wife 's daughter 's cousin 's mother 's mother 's son 's teacher the couch .	your dentist kept my wife 's daughter 's cousin 's mother 's mother 's son 's teacher the couch .
my friend sent my doctor 's mother 's boss 's daughter 's friend 's brother 's wife the window .	my friend held my doctor 's mother 's boss 's daughter 's friend 's brother 's wife the window .
Allison showed my mom 's mom 's mother 's boss 's teacher 's dentist 's son the candle .	Allison kept my mom 's mom 's mother 's boss 's teacher 's dentist 's son the candle .
the person sent your husband 's husband 's dad 's daughter 's doctor 's grandmother 's daughter the glass .	the person kept your husband 's husband 's dad 's daughter 's doctor 's grandmother 's daughter the glass .
Kristen gave my mom 's teacher 's sister 's teacher 's grandmother 's son 's wife the bed .	Kristen cleaned my mom 's teacher 's sister 's teacher 's grandmother 's son 's wife the bed .
the doctor gave my teacher 's teacher 's teacher 's mom 's wife 's grandmother 's boss the plate .	the doctor kept my teacher 's teacher 's teacher 's mom 's wife 's grandmother 's boss the plate .
your friend bought your son 's husband 's grandmother 's brother 's sister 's doctor 's dad the shoe .	your friend cleaned your son 's husband 's grandmother 's brother 's sister 's doctor 's dad the shoe .
Anna sent my dentist 's grandmother 's wife 's dad 's brother 's sister 's grandmother the rocket .	Anna held my dentist 's grandmother 's wife 's dad 's brother 's sister 's grandmother the rocket .
my teacher bought your brother 's wife 's dentist 's mother 's cousin 's mom 's doctor the rug .	my teacher shook your brother 's wife 's dentist 's mother 's cousin 's mom 's doctor the rug .
the person bought my wife 's boss 's daughter 's husband 's sister 's mother 's doctor the ship .	the person lost my wife 's boss 's daughter 's husband 's sister 's mother 's doctor the ship .
the teacher showed my daughter 's doctor 's husband 's wife 's mom 's mom 's friend the car .	the teacher cleaned my daughter 's doctor 's husband 's wife 's mom 's mom 's friend the car .
the child bought my wife 's father 's wife 's brother 's boss 's brother 's father the bicycle .	the child lost my wife 's father 's wife 's brother 's boss 's brother 's father the bicycle .
my doctor gave my daughter 's father 's grandmother 's husband 's dad 's teacher 's father the car .	my doctor shook my daughter 's father 's grandmother 's husband 's dad 's teacher 's father the car .
the driver gave my daughter 's grandmother 's son 's wife 's mother 's grandmother 's brother the candle .	the driver moved my daughter 's grandmother 's son 's wife 's mother 's grandmother 's brother the candle .
the teacher gave my teacher 's brother 's father 's dad 's grandmother 's dad 's cousin the bicycle .	the teacher kept my teacher 's brother 's father 's dad 's grandmother 's dad 's cousin the bicycle .
your teacher bought my wife 's father 's daughter 's husband 's friend 's dad 's sister the button .	your teacher lost my wife 's father 's daughter 's husband 's friend 's dad 's sister the button .
the adult bought your dentist 's father 's daughter 's dad 's daughter 's grandmother 's doctor the bed .	the adult moved your dentist 's father 's daughter 's dad 's daughter 's grandmother 's doctor the bed .
Julie showed your cousin 's mother 's mom 's doctor 's mom 's father 's teacher the toy .	Julie held your cousin 's mother 's mom 's doctor 's mom 's father 's teacher the toy .
my boss showed your brother 's husband 's husband 's daughter 's daughter 's doctor 's cousin the couch .	my boss dropped your brother 's husband 's husband 's daughter 's daughter 's doctor 's cousin the couch .
your boss gave my father 's doctor 's grandmother 's mother 's son 's teacher 's doctor the car .	your boss lost my father 's doctor 's grandmother 's mother 's son 's teacher 's doctor the car .
Adam sent my dentist 's boss 's mother 's daughter 's brother 's teacher 's dad the ship .	Adam moved my dentist 's boss 's mother 's daughter 's brother 's teacher 's dad the ship .
the person gave my husband 's daughter 's dad 's mom 's sister 's grandmother 's cousin the box .	the person lost my husband 's daughter 's dad 's mom 's sister 's grandmother 's cousin the box .
Adam showed your dad 's teacher 's sister 's mother 's cousin 's doctor 's cousin the shoe .	Adam held your dad 's teacher 's sister 's mother 's cousin 's doctor 's cousin the shoe .
Noah bought your father 's son 's teacher 's cousin 's mother 's cousin 's mom the chair .	Noah moved your father 's son 's teacher 's cousin 's mother 's cousin 's mom the chair .
your friend sent your sister 's boss 's sister 's dad 's sister 's father 's dentist the bicycle .	your friend moved your sister 's boss 's sister 's dad 's sister 's father 's dentist the bicycle .
my friend bought your brother 's cousin 's cousin 's brother 's brother 's brother 's cousin the bed .	my friend lost your brother 's cousin 's cousin 's brother 's brother 's brother 's cousin the bed .
Jerry sent your brother 's friend 's husband 's cousin 's teacher 's boss 's dentist the door .	Jerry moved your brother 's friend 's husband 's cousin 's teacher 's boss 's dentist the door .
your doctor bought your cousin 's mother 's brother 's mother 's sister 's mother 's cousin the couch .	your doctor kept your cousin 's mother 's brother 's mother 's sister 's mother 's cousin the couch .
the patient gave my doctor 's father 's mother 's sister 's mother 's daughter 's friend the glass .	the patient held my doctor 's father 's mother 's sister 's mother 's daughter 's friend the glass .
my boss showed my dentist 's friend 's daughter 's teacher 's husband 's sister 's daughter the ship .	my boss cleaned my dentist 's friend 's daughter 's teacher 's husband 's sister 's daughter the ship .
the patient bought your daughter 's boss 's husband 's mother 's grandmother 's husband 's son the door .	the patient held your daughter 's boss 's husband 's mother 's grandmother 's husband 's son the door .
Peter bought your boss 's friend 's friend 's mom 's father 's teacher 's cousin the shirt .	Peter shook your boss 's friend 's friend 's mom 's father 's teacher 's cousin the shirt .
the dentist sent my mom 's husband 's daughter 's boss 's brother 's doctor 's dad the bag .	the dentist kept my mom 's husband 's daughter 's boss 's brother 's doctor 's dad the bag .
my friend sent your grandmother 's husband 's teacher 's boss 's wife 's husband 's daughter the car .	my friend moved your grandmother 's husband 's teacher 's boss 's wife 's husband 's daughter the car .
Becca showed your doctor 's wife 's doctor 's grandmother 's friend 's friend 's dad the chair .	Becca lost your doctor 's wife 's doctor 's grandmother 's friend 's friend 's dad the chair .
the dancer gave your father 's husband 's brother 's doctor 's mom 's boss 's brother the book .	the dancer lost your father 's husband 's brother 's doctor 's mom 's boss 's brother the book .
my boss bought my father 's sister 's wife 's mother 's son 's mom 's boss the toy .	my boss moved my father 's sister 's wife 's mother 's son 's mom 's boss the toy .
the patient gave my mom 's mom 's doctor 's doctor 's daughter 's grandmother 's grandmother the cup .	the patient kept my mom 's mom 's doctor 's doctor 's daughter 's grandmother 's grandmother the cup .
Renee showed my cousin 's dentist 's father 's son 's boss 's sister 's grandmother the truck .	Renee shook my cousin 's dentist 's father 's son 's boss 's sister 's grandmother the truck .
the child sent my brother 's mom 's dentist 's teacher 's dentist 's husband 's grandmother the bottle .	the child cleaned my brother 's mom 's dentist 's teacher 's dentist 's husband 's grandmother the bottle .
Julie showed my dentist 's wife 's father 's daughter 's son 's dentist 's teacher the door .	Julie moved my dentist 's wife 's father 's daughter 's son 's dentist 's teacher the door .
Gregory sent your mother 's cousin 's sister 's boss 's mom 's dad 's friend the rug .	Gregory kept your mother 's cousin 's sister 's boss 's mom 's dad 's friend the rug .
Michael bought my friend 's cousin 's boss 's dad 's dentist 's husband 's boss the rug .	Michael shook my friend 's cousin 's boss 's dad 's dentist 's husband 's boss the rug .
the customer sent my sister 's boss 's teacher 's brother 's teacher 's daughter 's boss the rocket .	the customer kept my sister 's boss 's teacher 's brother 's teacher 's daughter 's boss the rocket .
your boss gave my cousin 's son 's father 's grandmother 's father 's cousin 's sister the candle .	your boss lost my cousin 's son 's father 's grandmother 's father 's cousin 's sister the candle .
the teacher sent my cousin 's daughter 's mom 's grandmother 's brother 's brother 's wife the glass .	the teacher kept my cousin 's daughter 's mom 's grandmother 's brother 's brother 's wife the glass .
the dentist bought your father 's mother 's daughter 's mother 's cousin 's wife 's wife the truck .	the dentist lost your father 's mother 's daughter 's mother 's cousin 's wife 's wife the truck .
the doctor bought my wife 's father 's son 's daughter 's friend 's mom 's daughter the car .	the doctor lost my wife 's father 's son 's daughter 's friend 's mom 's daughter the car .
the adult showed my wife 's mom 's mom 's daughter 's dentist 's mother 's husband the car .	the adult moved my wife 's mom 's mom 's daughter 's dentist 's mother 's husband the car .
your friend showed your dad 's friend 's son 's grandmother 's grandmother 's husband 's son the rocket .	your friend shook your dad 's friend 's son 's grandmother 's grandmother 's husband 's son the rocket .
Nina showed your boss 's daughter 's mom 's mom 's son 's mom 's dentist the couch .	Nina lost your boss 's daughter 's mom 's mom 's son 's mom 's dentist the couch .
my boss gave my son 's mom 's brother 's mom 's mother 's grandmother 's son the chair .	my boss dropped my son 's mom 's brother 's mom 's mother 's grandmother 's son the chair .
your doctor gave my father 's boss 's dentist 's dentist 's brother 's father 's dad the rocket .	your doctor moved my father 's boss 's dentist 's dentist 's brother 's father 's dad the rocket .
your dentist bought your brother 's wife 's son 's mom 's friend 's son 's cousin the truck .	your dentist cleaned your brother 's wife 's son 's mom 's friend 's son 's cousin the truck .
Liam showed my son 's son 's mom 's husband 's husband 's dentist 's son the boat .	Liam moved my son 's son 's mom 's husband 's husband 's dentist 's son the boat .
the teacher showed my daughter 's boss 's mom 's cousin 's cousin 's daughter 's dentist the rug .	the teacher shook my daughter 's boss 's mom 's cousin 's cousin 's daughter 's dentist the rug .
Sara sent your son 's daughter 's teacher 's friend 's grandmother 's wife 's grandmother the picture .	Sara moved your son 's daughter 's teacher 's friend 's grandmother 's wife 's grandmother the picture .
your cousin bought your doctor 's boss 's husband 's doctor 's dentist 's father 's father the glass .	your cousin moved your doctor 's boss 's husband 's doctor 's dentist 's father 's father the glass .
the dancer gave your brother 's boss 's son 's dentist 's teacher 's daughter 's cousin the dish .	the dancer cleaned your brother 's boss 's son 's dentist 's teacher 's daughter 's cousin the dish .
my teacher bought your boss 's brother 's wife 's cousin 's teacher 's brother 's wife the window .	my teacher shook your boss 's brother 's wife 's cousin 's teacher 's brother 's wife the window .
Nicole bought my dentist 's grandmother 's brother 's cousin 's friend 's brother 's doctor the plate .	Nicole kept my dentist 's grandmother 's brother 's cousin 's friend 's brother 's doctor the plate .
the person bought your husband 's doctor 's daughter 's brother 's wife 's teacher 's cousin the hat .	the person kept your husband 's doctor 's daughter 's brother 's wife 's teacher 's cousin the hat .
John bought my cousin 's daughter 's husband 's sister 's daughter 's brother 's wife the bicycle .	John kept my cousin 's daughter 's husband 's sister 's daughter 's brother 's wife the bicycle .
Elizabeth showed your boss 's friend 's boss 's son 's husband 's boss 's cousin the door .	Elizabeth held your boss 's friend 's boss 's son 's husband 's boss 's cousin the door .
your teacher bought my boss 's teacher 's boss 's daughter 's grandmother 's doctor 's mom the plane .	your teacher lost my boss 's teacher 's boss 's daughter 's grandmother 's doctor 's mom the plane .
Deborah bought your boss 's husband 's cousin 's brother 's son 's friend 's brother the bicycle .	Deborah cleaned your boss 's husband 's cousin 's brother 's son 's friend 's brother the bicycle .
Jill bought my dentist 's friend 's doctor 's brother 's cousin 's son 's dentist the dish .	Jill dropped my dentist 's friend 's doctor 's brother 's cousin 's son 's dentist the dish .
the customer gave your boss 's father 's doctor 's husband 's teacher 's mother 's teacher the spoon .	the customer shook your boss 's father 's doctor 's husband 's teacher 's mother 's teacher the spoon .
the customer showed my grandmother 's cousin 's friend 's sister 's dad 's husband 's sister the crayon .	the customer dropped my grandmother 's cousin 's friend 's sister 's dad 's husband 's sister the crayon .
the driver sent your cousin 's brother 's boss 's friend 's father 's grandmother 's boss the chair .	the driver dropped your cousin 's brother 's boss 's friend 's father 's grandmother 's boss the chair .
the adult gave my friend 's friend 's mom 's boss 's mom 's mom 's husband the picture .	the adult lost my friend 's friend 's mom 's boss 's mom 's mom 's husband the picture .
my doctor gave my grandmother 's mom 's father 's father 's mom 's boss 's sister the boat .	my doctor lost my grandmother 's mom 's father 's father 's mom 's boss 's sister the boat .
my friend sent my son 's dad 's wife 's brother 's wife 's mother 's mother the door .	my friend moved my son 's dad 's wife 's brother 's wife 's mother 's mother the door .
Tracy bought your dentist 's dad 's mom 's friend 's cousin 's grandmother 's mom the bicycle .	Tracy cleaned your dentist 's dad 's mom 's friend 's cousin 's grandmother 's mom the bicycle .
your dentist showed your cousin 's brother 's mom 's mother 's dad 's dad 's wife the rug .	your dentist shook your cousin 's brother 's mom 's mother 's dad 's dad 's wife the rug .
your teacher bought my son 's teacher 's dad 's father 's dad 's husband 's daughter the button .	your teacher lost my son 's teacher 's dad 's father 's dad 's husband 's daughter the button .
the teacher showed your friend 's cousin 's wife 's father 's doctor 's brother 's mother the car .	the teacher shook your friend 's cousin 's wife 's father 's doctor 's brother 's mother the car .
Carol showed my mom 's friend 's friend 's doctor 's mother 's boss 's son the plane .	Carol cleaned my mom 's friend 's friend 's doctor 's mother 's boss 's son the plane .
Paul bought my husband 's mother 's dentist 's cousin 's dad 's daughter 's friend the chair .	Paul held my husband 's mother 's dentist 's cousin 's dad 's daughter 's friend the chair .
the child gave your sister 's cousin 's son 's cousin 's doctor 's mother 's mother the cup .	the child lost your sister 's cousin 's son 's cousin 's doctor 's mother 's mother the cup .
your doctor bought your husband 's cousin 's grandmother 's son 's father 's teacher 's dentist the plane .	your doctor shook your husband 's cousin 's grandmother 's son 's father 's teacher 's dentist the plane .
Anne gave your brother 's dentist 's sister 's mom 's teacher 's sister 's grandmother the bottle .	Anne moved your brother 's dentist 's sister 's mom 's teacher 's sister 's grandmother the bottle .
my friend bought your dad 's son 's grandmother 's mom 's wife 's cousin 's husband the doll .	my friend kept your dad 's son 's grandmother 's mom 's wife 's cousin 's husband the doll .
my dentist sent your dentist 's cousin 's grandmother 's wife 's friend 's wife 's dentist the bottle .	my dentist dropped your dentist 's cousin 's grandmother 's wife 's friend 's wife 's dentist the bottle .
your friend showed your cousin 's grandmother 's teacher 's teacher 's friend 's teacher 's dad the car .	your friend lost your cousin 's grandmother 's teacher 's teacher 's friend 's teacher 's dad the car .
the customer sent your brother 's father 's boss 's teacher 's boss 's grandmother 's daughter the car .	the customer kept your brother 's father 's boss 's teacher 's boss 's grandmother 's daughter the car .
the driver bought your brother 's mom 's cousin 's grandmother 's husband 's doctor 's mom the bottle .	the driver held your brother 's mom 's cousin 's grandmother 's husband 's doctor 's mom the bottle .
the driver showed your dad 's dentist 's brother 's dentist 's husband 's daughter 's brother the chair .	the driver dropped your dad 's dentist 's brother 's dentist 's husband 's daughter 's brother the chair .
the dentist sent your dad 's husband 's dad 's friend 's dentist 's grandmother 's son the door .	the dentist kept your dad 's husband 's dad 's friend 's dentist 's grandmother 's son the door .
Emily sent your husband 's boss 's dentist 's cousin 's wife 's friend 's boss the bottle .	Emily kept your husband 's boss 's dentist 's cousin 's wife 's friend 's boss the bottle .
the teacher gave your brother 's dentist 's cousin 's grandmother 's doctor 's grandmother 's father the box .	the teacher kept your brother 's dentist 's cousin 's grandmother 's doctor 's grandmother 's father the box .
the customer showed my sister 's mom 's teacher 's grandmother 's teacher 's mother 's friend the couch .	the customer shook my sister 's mom 's teacher 's grandmother 's teacher 's mother 's friend the couch .
your dentist showed your son 's brother 's father 's daughter 's brother 's son 's boss the car .	your dentist kept your son 's brother 's father 's daughter 's brother 's son 's boss the car .
my teacher showed my friend 's husband 's friend 's dad 's mother 's husband 's husband the rug .	my teacher cleaned my friend 's husband 's friend 's dad 's mother 's husband 's husband the rug .
my teacher bought my daughter 's grandmother 's brother 's dad 's son 's mother 's friend the book .	my teacher cleaned my daughter 's grandmother 's brother 's dad 's son 's mother 's friend the book .
the child showed your teacher 's sister 's mom 's doctor 's grandmother 's doctor 's mother the toy .	the child dropped your teacher 's sister 's mom 's doctor 's grandmother 's doctor 's mother the toy .
the child sent my brother 's wife 's grandmother 's wife 's dad 's dentist 's dentist the candle .	the child dropped my brother 's wife 's grandmother 's wife 's dad 's dentist 's dentist the candle .
Gregory gave your husband 's grandmother 's dad 's husband 's wife 's husband 's doctor the bottle .	Gregory kept your husband 's grandmother 's dad 's husband 's wife 's husband 's doctor the bottle .
your cousin showed my mom 's grandmother 's wife 's dentist 's friend 's grandmother 's dad the bowl .	your cousin shook my mom 's grandmother 's wife 's dentist 's friend 's grandmother 's dad the bowl .
your dentist gave my grandmother 's daughter 's wife 's dad 's cousin 's son 's daughter the spoon .	your dentist held my grandmother 's daughter 's wife 's dad 's cousin 's son 's daughter the spoon .
Catherine sent your friend 's cousin 's wife 's son 's friend 's grandmother 's father the spoon .	Catherine cleaned your friend 's cousin 's wife 's son 's friend 's grandmother 's father the spoon .
Scott gave my mom 's mother 's sister 's mother 's doctor 's teacher 's father the plane .	Scott held my mom 's mother 's sister 's mother 's doctor 's teacher 's father the plane .
Noah bought your boss 's grandmother 's cousin 's cousin 's husband 's son 's boss the fork .	Noah lost your boss 's grandmother 's cousin 's cousin 's husband 's son 's boss the fork .
the doctor sent your wife 's mother 's grandmother 's grandmother 's friend 's grandmother 's friend the ship .	the doctor shook your wife 's mother 's grandmother 's grandmother 's friend 's grandmother 's friend the ship .
Donna showed your boss 's boss 's brother 's sister 's cousin 's daughter 's dentist the fork .	Donna held your boss 's boss 's brother 's sister 's cousin 's daughter 's dentist the fork .
Barbara gave your friend 's son 's mom 's doctor 's son 's mother 's dentist the bottle .	Barbara lost your friend 's son 's mom 's doctor 's son 's mother 's dentist the bottle .
my friend sent my dentist 's mother 's husband 's father 's grandmother 's friend 's wife the hat .	my friend moved my dentist 's mother 's husband 's father 's grandmother 's friend 's wife the hat .
the dentist gave my daughter 's doctor 's mother 's brother 's doctor 's friend 's grandmother the doll .	the dentist moved my daughter 's doctor 's mother 's brother 's doctor 's friend 's grandmother the doll .
my teacher showed your mom 's husband 's cousin 's mom 's doctor 's grandmother 's cousin the book .	my teacher held your mom 's husband 's cousin 's mom 's doctor 's grandmother 's cousin the book .
Julia showed my son 's mother 's mom 's mother 's son 's doctor 's daughter the book .	Julia dropped my son 's mother 's mom 's mother 's son 's doctor 's daughter the book .
the customer sent your mom 's wife 's husband 's husband 's wife 's dentist 's daughter the crayon .	the customer shook your mom 's wife 's husband 's husband 's wife 's dentist 's daughter the crayon .
my cousin gave my doctor 's brother 's sister 's dentist 's boss 's son 's father the bicycle .	my cousin held my doctor 's brother 's sister 's dentist 's boss 's son 's father the bicycle .
your dentist sent your father 's mother 's sister 's daughter 's brother 's husband 's boss the shoe .	your dentist kept your father 's mother 's sister 's daughter 's brother 's husband 's boss the shoe .
