those doctors smile .	those doctors like .
this person had laughed .	this person had confused .
these doctors are n't lying .	these doctors are n't bothering .
the patient may whisper .	the patient may like .
these ladies did n't sneeze .	these ladies did n't scare .
these doctors talk .	these doctors scare .
this man laughed .	this man bothered .
the doctors might scream .	the doctors might appreciate .
this boy was screaming .	this boy was bothering .
this driver talks .	this driver scares .
that patient yelled .	that patient confused .
the people whisper .	the people scare .
that girl must lie .	that girl must hate .
those girls would n't scream .	those girls would n't bother .
the child should scream .	the child should appreciate .
the teachers laugh .	the teachers appreciate .
those children will cough .	those children will hate .
that queen was screaming .	that queen was bothering .
that king does n't scream .	that king does n't praise .
those children do n't cough .	those children do n't scare .
that guy was talking .	that guy was bothering .
this teacher did n't smile .	this teacher did n't like .
these people lie .	these people bother .
this girl could lie .	this girl could like .
the teacher talks .	the teacher scares .
the teacher does n't yell .	the teacher does n't hate .
that driver wo n't cough .	that driver wo n't bother .
the teachers would n't yell .	the teachers would n't hate .
that guy must lie .	that guy must appreciate .
the teacher should n't cough .	the teacher should n't bother .
the boys would n't yell .	the boys would n't bother .
that teacher might yell .	that teacher might bother .
these boys may talk .	these boys may appreciate .
this lady would cough .	this lady would appreciate .
the girls cough .	the girls like .
this guy could n't talk .	this guy could n't like .
the boys whisper .	the boys hate .
those doctors could laugh .	those doctors could like .
these girls have n't laughed .	these girls have n't liked .
those ladies could laugh .	those ladies could bother .
this lady might yell .	this lady might hate .
that teacher did n't whisper .	that teacher did n't praise .
this dancer might smile .	this dancer might hate .
the ladies cough .	the ladies appreciate .
the doctors are lying .	the doctors are bothering .
the customer could smile .	the customer could like .
these girls have laughed .	these girls have scared .
the doctors had n't laughed .	the doctors had n't scared .
the doctor was whispering .	the doctor was bothering .
those girls whisper .	those girls praise .
these ladies might cough .	these ladies might hate .
those guys talked .	those guys bothered .
the person would n't yell .	the person would n't hate .
that king must cough .	that king must praise .
these doctors scream .	these doctors scare .
that driver appears .	that driver scares .
that child laughed .	that child scared .
those boys would n't scream .	those boys would n't hate .
that person will lie .	that person will praise .
the dancer could n't yell .	the dancer could n't hate .
that customer can n't cough .	that customer can n't appreciate .
that king is talking .	that king is bothering .
the child should talk .	the child should scare .
those people scream .	those people scare .
the people talked .	the people scared .
these guys would laugh .	these guys would bother .
the teachers can n't whisper .	the teachers can n't appreciate .
these guys have n't talked .	these guys have n't confused .
the guys cough .	the guys praise .
those men did n't laugh .	those men did n't like .
those women lie .	those women praise .
these children might sneeze .	these children might praise .
that driver would n't laugh .	that driver would n't like .
this doctor can n't talk .	this doctor can n't praise .
those doctors may lie .	those doctors may bother .
the queen has laughed .	the queen has liked .
these teachers were n't whispering .	these teachers were n't bothering .
these guys have n't talked .	these guys have n't scared .
that teacher is n't smiling .	that teacher is n't bothering .
those teachers cough .	those teachers scare .
that woman talked .	that woman scared .
these women scream .	these women bother .
this king talked .	this king confused .
this queen would laugh .	this queen would like .
the guys cough .	the guys hate .
the guys are n't laughing .	the guys are n't bothering .
this man talked .	this man liked .
those doctors laugh .	those doctors bother .
this lady wo n't whisper .	this lady wo n't praise .
this doctor could talk .	this doctor could hate .
the doctor was talking .	the doctor was bothering .
the ladies have n't talked .	the ladies have n't scared .
the guy can sneeze .	the guy can bother .
that lady can n't talk .	that lady can n't praise .
this girl must talk .	this girl must scare .
this boy had talked .	this boy had bothered .
this doctor yelled .	this doctor scared .
this doctor can n't cough .	this doctor can n't appreciate .
the adult would n't scream .	the adult would n't hate .
these doctors can yell .	these doctors can appreciate .
this dentist was n't laughing .	this dentist was n't bothering .
this teacher would laugh .	this teacher would appreciate .
that person can laugh .	that person can like .
this person can n't whisper .	this person can n't praise .
those people would n't scream .	those people would n't hate .
those people did n't scream .	those people did n't praise .
that adult appears .	that adult likes .
the boys yell .	the boys scare .
that guy does n't laugh .	that guy does n't praise .
that person talked .	that person liked .
that girl can n't smile .	that girl can n't like .
those guys talk .	those guys appreciate .
this boy did n't smile .	this boy did n't praise .
that patient will sneeze .	that patient will like .
the men do n't lie .	the men do n't like .
that child laughed .	that child bothered .
this dentist will talk .	this dentist will like .
these doctors sneeze .	these doctors bother .
these women had yelled .	these women had liked .
these women talk .	these women hate .
that boy has n't talked .	that boy has n't liked .
these doctors must scream .	these doctors must appreciate .
those doctors can n't yell .	those doctors can n't appreciate .
those boys scream .	those boys hate .
those teachers were smiling .	those teachers were bothering .
the teacher might scream .	the teacher might like .
the girls do n't lie .	the girls do n't hate .
the ladies scream .	the ladies hate .
that customer could lie .	that customer could praise .
this adult yelled .	this adult confused .
the teachers might cough .	the teachers might praise .
this king may smile .	this king may hate .
the teachers do n't yell .	the teachers do n't like .
these doctors should cough .	these doctors should appreciate .
the woman had n't talked .	the woman had n't confused .
these people smile .	these people praise .
these ladies laughed .	these ladies scared .
this dancer is n't whispering .	this dancer is n't bothering .
the dentist laughed .	the dentist confused .
the children are screaming .	the children are bothering .
this patient wo n't scream .	this patient wo n't scare .
these guys laugh .	these guys like .
this driver had n't talked .	this driver had n't liked .
the adult does n't lie .	the adult does n't appreciate .
this lady is n't smiling .	this lady is n't bothering .
the girls should scream .	the girls should bother .
that person should smile .	that person should like .
this adult can smile .	this adult can hate .
these girls did n't laugh .	these girls did n't like .
these men laughed .	these men scared .
that guy had talked .	that guy had liked .
this king would n't cough .	this king would n't scare .
that child may yell .	that child may hate .
that person had n't laughed .	that person had n't confused .
the boy should n't lie .	the boy should n't scare .
that patient might lie .	that patient might praise .
these doctors may laugh .	these doctors may praise .
the guy would talk .	the guy would appreciate .
these girls smile .	these girls scare .
the boys had yelled .	the boys had confused .
these people could n't sneeze .	these people could n't appreciate .
the doctor can n't cough .	the doctor can n't bother .
that man is n't smiling .	that man is n't bothering .
the dentist could yell .	the dentist could hate .
these people laughed .	these people scared .
these people are n't talking .	these people are n't bothering .
the driver should cough .	the driver should praise .
these people should talk .	these people should praise .
the men laugh .	the men like .
those boys are whispering .	those boys are bothering .
those boys laugh .	those boys praise .
that person can yell .	that person can hate .
the queen has n't talked .	the queen has n't confused .
this dentist can n't talk .	this dentist can n't appreciate .
that customer should n't cough .	that customer should n't scare .
the dancer might whisper .	the dancer might praise .
the doctor might cough .	the doctor might scare .
these men smile .	these men appreciate .
these guys yell .	these guys praise .
these teachers have yelled .	these teachers have confused .
this person had n't talked .	this person had n't scared .
those doctors talk .	those doctors appreciate .
that girl might smile .	that girl might bother .
this girl should n't sneeze .	this girl should n't bother .
the guys laughed .	the guys liked .
the lady has yelled .	the lady has bothered .
this boy talks .	this boy scares .
these children are n't yelling .	these children are n't bothering .
those doctors could n't smile .	those doctors could n't praise .
this girl has talked .	this girl has bothered .
the adult should cough .	the adult should like .
those women had n't yelled .	those women had n't confused .
this patient talked .	this patient liked .
the doctor would laugh .	the doctor would like .
this dancer has yelled .	this dancer has liked .
that queen must talk .	that queen must like .
those girls could laugh .	those girls could praise .
this doctor talked .	this doctor bothered .
these men did n't lie .	these men did n't like .
that person laughed .	that person scared .
those ladies can lie .	those ladies can bother .
these teachers wo n't lie .	these teachers wo n't scare .
this king yelled .	this king bothered .
the man might cough .	the man might hate .
those children talk .	those children appreciate .
those men had yelled .	those men had confused .
