that ship reads .	that ship read .
the library makes those doctors .	the library make those doctors .
this book keeps the boy .	this book keep the boy .
the rooms understand the door .	the rooms understands the door .
the bed reads .	the bed read .
those shoes paint .	those shoes paints .
those bottles shake the child .	those bottles shakes the child .
that window hears this room .	that window hear this room .
this mirror reads .	this mirror read .
these boats wave .	these boats waves .
these pictures hear the hospital .	these pictures hears the hospital .
those cars grow .	those cars grows .
these books read .	these books reads .
those boats help those rings .	those boats helps those rings .
this dish talks .	this dish talk .
these shoes grow .	these shoes grows .
this spoon keeps those boys .	this spoon keep those boys .
these cars grow .	these cars grows .
this mall sings .	this mall sing .
the museum cries .	the museum cry .
those shirts drop these guys .	those shirts drops these guys .
that plane knows this bag .	that plane know this bag .
that mirror paints .	that mirror paint .
these schools bring the people .	these schools brings the people .
these boxes bring that guy .	these boxes brings that guy .
these books hear this school .	these books hears this school .
the truck hears this candle .	the truck hear this candle .
the button grows .	the button grow .
this fork cries .	this fork cry .
those crayons throw these girls .	those crayons throws these girls .
this spoon grows .	this spoon grow .
the bowl keeps the customer .	the bowl keep the customer .
the crayon shakes this child .	the crayon shake this child .
these bowls paint .	these bowls paints .
the spoon talks .	the spoon talk .
this hat sings .	this hat sing .
that bowl understands the bank .	that bowl understand the bank .
the beds know this museum .	the beds knows this museum .
this fork knows this park .	this fork know this park .
these chairs help that doll .	these chairs helps that doll .
this bottle shakes those teachers .	this bottle shake those teachers .
that museum cries .	that museum cry .
those cups eat .	those cups eats .
the rug knows this cup .	the rug know this cup .
that car understands that bicycle .	that car understand that bicycle .
that mall throws that girl .	that mall throw that girl .
this truck hears this button .	this truck hear this button .
this bank makes the adult .	this bank make the adult .
these books understand that doll .	these books understands that doll .
the books understand the ship .	the books understands the ship .
that mall brings the person .	that mall bring the person .
these spoons exercise .	these spoons exercises .
the boxes know this truck .	the boxes knows this truck .
that book makes that person .	that book make that person .
the chairs understand these toys .	the chairs understands these toys .
that shoe waves .	that shoe wave .
this cup paints .	this cup paint .
that book eats .	that book eat .
those boats take the men .	those boats takes the men .
this mirror cries .	this mirror cry .
the bowl knows the door .	the bowl know the door .
these books talk to that chair .	these books talks to that chair .
the car holds this girl .	the car hold this girl .
this park runs .	this park run .
that school eats .	that school eat .
these candles have these doctors .	these candles has these doctors .
the boxes bring that adult .	the boxes brings that adult .
those doors exercise .	those doors exercises .
that car reads .	that car read .
the bowls cry .	the bowls cries .
the windows understand those cars .	the windows understands those cars .
the hat knows the rug .	the hat know the rug .
those hats bring those people .	those hats brings those people .
those bags work with these bags .	those bags works with these bags .
those beds hear these schools .	those beds hears these schools .
that museum holds those doctors .	that museum hold those doctors .
the dolls scare the hat .	the dolls scares the hat .
the couch waves .	the couch wave .
these books hear those windows .	these books hears those windows .
those spoons grow .	those spoons grows .
that boat works with the candle .	that boat work with the candle .
this bag understands that candle .	this bag understand that candle .
the bottle reads .	the bottle read .
these boats run .	these boats runs .
the schools drop this queen .	the schools drops this queen .
these crayons paint .	these crayons paints .
that ship talks .	that ship talk .
that crayon grows .	that crayon grow .
the room paints .	the room paint .
these crayons have these people .	these crayons has these people .
the mall brings that guy .	the mall bring that guy .
that dish helps that door .	that dish help that door .
the books hear the boxes .	the books hears the boxes .
this plane sings .	this plane sing .
this toy throws those boys .	this toy throw those boys .
those crayons eat .	those crayons eats .
those cars talk to these crayons .	those cars talks to these crayons .
that rug drops this person .	that rug drop this person .
that couch moves the boy .	that couch move the boy .
the plane talks to that glass .	the plane talk to that glass .
the hat keeps the patient .	the hat keep the patient .
the bed holds those boys .	the bed hold those boys .
the trucks bring those women .	the trucks brings those women .
this chair eats .	this chair eat .
those dishes understand the forks .	those dishes understands the forks .
the library works with that button .	the library work with that button .
those rooms work with this school .	those rooms works with this school .
the boats understand that bank .	the boats understands that bank .
those dolls talk .	those dolls talks .
that button brings the doctors .	that button bring the doctors .
the beds know the rings .	the beds knows the rings .
the doll eats .	the doll eat .
the trucks have this dancer .	the trucks has this dancer .
this bank understands the picture .	this bank understand the picture .
the mall makes the king .	the mall make the king .
this hat moves that doctor .	this hat move that doctor .
that toy helps that room .	that toy help that room .
the bag runs .	the bag run .
the book runs .	the book run .
this candle scares those bowls .	this candle scare those bowls .
the dolls grow .	the dolls grows .
that chair exercises .	that chair exercise .
this hat eats .	this hat eat .
those dishes keep the girls .	those dishes keeps the girls .
that fork paints .	that fork paint .
these shoes run .	these shoes runs .
that crayon takes those ladies .	that crayon take those ladies .
the toy holds this driver .	the toy hold this driver .
the couch talks .	the couch talk .
this bowl talks .	this bowl talk .
those chairs wave .	those chairs waves .
that plane exercises .	that plane exercise .
the bed drops those people .	the bed drop those people .
the room hears that door .	the room hear that door .
that restaurant reads .	that restaurant read .
this rocket reads .	this rocket read .
the spoon paints .	the spoon paint .
this car knows the door .	this car know the door .
the glasses paint .	the glasses paints .
that ring knows this truck .	that ring know this truck .
that mall hears those trucks .	that mall hear those trucks .
that bowl moves the boy .	that bowl move the boy .
the kitchen holds the boy .	the kitchen hold the boy .
the park shakes the people .	the park shake the people .
these dishes make this adult .	these dishes makes this adult .
this library eats .	this library eat .
this hospital hears the mirror .	this hospital hear the mirror .
the shoe waves .	the shoe wave .
the cup runs .	the cup run .
that fork hears the windows .	that fork hear the windows .
those pictures run .	those pictures runs .
these plates grow .	these plates grows .
this plane talks .	this plane talk .
the candle talks to the truck .	the candle talk to the truck .
the ring talks .	the ring talk .
the bowl runs .	the bowl run .
the toys exercise .	the toys exercises .
the button runs .	the button run .
the bowls take this girl .	the bowls takes this girl .
this bowl holds that person .	this bowl hold that person .
the glass scares the dolls .	the glass scare the dolls .
the mall scares that candle .	the mall scare that candle .
the bowls shake that dancer .	the bowls shakes that dancer .
those boats take this lady .	those boats takes this lady .
that boat cries .	that boat cry .
the plane waves .	the plane wave .
that car eats .	that car eat .
these dishes eat .	these dishes eats .
that hat runs .	that hat run .
this restaurant eats .	this restaurant eat .
this ring works with these cars .	this ring work with these cars .
the mirror keeps this person .	the mirror keep this person .
that box grows .	that box grow .
those shirts cry .	those shirts cries .
that truck scares this boat .	that truck scare this boat .
this candle hears those shoes .	this candle hear those shoes .
this toy holds the dancer .	this toy hold the dancer .
these chairs paint .	these chairs paints .
the bags bring this lady .	the bags brings this lady .
the plane keeps this child .	the plane keep this child .
the trucks help the window .	the trucks helps the window .
those boats sing .	those boats sings .
this shirt exercises .	this shirt exercise .
that bag understands this candle .	that bag understand this candle .
this rocket exercises .	this rocket exercise .
the bowl shakes the adult .	the bowl shake the adult .
those books help that glass .	those books helps that glass .
these books hold the women .	these books holds the women .
that plane hears that mall .	that plane hear that mall .
that school talks to these dolls .	that school talk to these dolls .
that toy has those children .	that toy have those children .
those cars know that toy .	those cars knows that toy .
this ring has the guys .	this ring have the guys .
the candles know this plate .	the candles knows this plate .
this toy sings .	this toy sing .
this dish holds those men .	this dish hold those men .
the chair hears the bottles .	the chair hear the bottles .
the bag moves this boy .	the bag move this boy .
the park moves that teacher .	the park move that teacher .
these trucks know these books .	these trucks knows these books .
these dishes hear the shirts .	these dishes hears the shirts .
those dolls sing .	those dolls sings .
that truck scares those doors .	that truck scare those doors .
the car hears these windows .	the car hear these windows .
the trucks drop the doctors .	the trucks drops the doctors .
that ship knows the bicycle .	that ship know the bicycle .
that spoon holds the adult .	that spoon hold the adult .
these hats know that cup .	these hats knows that cup .
those buttons read .	those buttons reads .
that library shakes that teacher .	that library shake that teacher .
the bicycle has the child .	the bicycle have the child .
those spoons paint .	those spoons paints .
that dish cries .	that dish cry .
these cups talk to those dolls .	these cups talks to those dolls .
the buttons make the dentist .	the buttons makes the dentist .
the glasses talk to that doll .	the glasses talks to that doll .
these trucks wave .	these trucks waves .
those boats talk to the chairs .	those boats talks to the chairs .
the rooms move these boys .	the rooms moves these boys .
that hat scares that bank .	that hat scare that bank .
that school cries .	that school cry .
